DATE,WEEKDAY,DAY,EVENT,YEAR,MONTH
2011-01-29,Saturday,d 1,,2011,1
2011-01-30,Sunday,d 2,,2011,1
2011-01-31,Monday,d 3,,2011,1
2011-02-01,Tuesday,d 4,,2011,2
2011-02-02,Wednesday,d 5,,2011,2
2011-02-03,Thursday,d 6,,2011,2
2011-02-04,Friday,d 7,,2011,2
2011-02-05,Saturday,d 8,,2011,2
2011-02-06,Sunday,d 9,SuperBowl,2011,2
2011-02-07,Monday,d 10,,2011,2
2011-02-08,Tuesday,d 11,,2011,2
2011-02-09,Wednesday,d 12,,2011,2
2011-02-10,Thursday,d 13,,2011,2
2011-02-11,Friday,d 14,,2011,2
2011-02-12,Saturday,d 15,,2011,2
2011-02-13,Sunday,d 16,,2011,2
2011-02-14,Monday,d 17,,2011,2
2011-02-15,Tuesday,d 18,,2011,2
2011-02-16,Wednesday,d 19,,2011,2
2011-02-17,Thursday,d 20,,2011,2
2011-02-18,Friday,d 21,,2011,2
2011-02-19,Saturday,d 22,,2011,2
2011-02-20,Sunday,d 23,,2011,2
2011-02-21,Monday,d 24,,2011,2
2011-02-22,Tuesday,d 25,,2011,2
2011-02-23,Wednesday,d 26,,2011,2
2011-02-24,Thursday,d 27,,2011,2
2011-02-25,Friday,d 28,,2011,2
2011-02-26,Saturday,d 29,,2011,2
2011-02-27,Sunday,d 30,,2011,2
2011-02-28,Monday,d 31,,2011,2
2011-03-01,Tuesday,d 32,,2011,3
2011-03-02,Wednesday,d 33,,2011,3
2011-03-03,Thursday,d 34,,2011,3
2011-03-04,Friday,d 35,,2011,3
2011-03-05,Saturday,d 36,,2011,3
2011-03-06,Sunday,d 37,,2011,3
2011-03-07,Monday,d 38,,2011,3
2011-03-08,Tuesday,d 39,,2011,3
2011-03-09,Wednesday,d 40,,2011,3
2011-03-10,Thursday,d 41,,2011,3
2011-03-11,Friday,d 42,,2011,3
2011-03-12,Saturday,d 43,,2011,3
2011-03-13,Sunday,d 44,,2011,3
2011-03-14,Monday,d 45,,2011,3
2011-03-15,Tuesday,d 46,,2011,3
2011-03-16,Wednesday,d 47,,2011,3
2011-03-17,Thursday,d 48,,2011,3
2011-03-18,Friday,d 49,,2011,3
2011-03-19,Saturday,d 50,,2011,3
2011-03-20,Sunday,d 51,,2011,3
2011-03-21,Monday,d 52,,2011,3
2011-03-22,Tuesday,d 53,,2011,3
2011-03-23,Wednesday,d 54,,2011,3
2011-03-24,Thursday,d 55,,2011,3
2011-03-25,Friday,d 56,,2011,3
2011-03-26,Saturday,d 57,,2011,3
2011-03-27,Sunday,d 58,,2011,3
2011-03-28,Monday,d 59,,2011,3
2011-03-29,Tuesday,d 60,,2011,3
2011-03-30,Wednesday,d 61,,2011,3
2011-03-31,Thursday,d 62,,2011,3
2011-04-01,Friday,d 63,,2011,4
2011-04-02,Saturday,d 64,,2011,4
2011-04-03,Sunday,d 65,,2011,4
2011-04-04,Monday,d 66,,2011,4
2011-04-05,Tuesday,d 67,,2011,4
2011-04-06,Wednesday,d 68,,2011,4
2011-04-07,Thursday,d 69,,2011,4
2011-04-08,Friday,d 70,,2011,4
2011-04-09,Saturday,d 71,,2011,4
2011-04-10,Sunday,d 72,,2011,4
2011-04-11,Monday,d 73,,2011,4
2011-04-12,Tuesday,d 74,,2011,4
2011-04-13,Wednesday,d 75,,2011,4
2011-04-14,Thursday,d 76,,2011,4
2011-04-15,Friday,d 77,,2011,4
2011-04-16,Saturday,d 78,,2011,4
2011-04-17,Sunday,d 79,,2011,4
2011-04-18,Monday,d 80,,2011,4
2011-04-19,Tuesday,d 81,,2011,4
2011-04-20,Wednesday,d 82,,2011,4
2011-04-21,Thursday,d 83,,2011,4
2011-04-22,Friday,d 84,,2011,4
2011-04-23,Saturday,d 85,,2011,4
2011-04-24,Sunday,d 86,,2011,4
2011-04-25,Monday,d 87,,2011,4
2011-04-26,Tuesday,d 88,,2011,4
2011-04-27,Wednesday,d 89,,2011,4
2011-04-28,Thursday,d 90,,2011,4
2011-04-29,Friday,d 91,,2011,4
2011-04-30,Saturday,d 92,,2011,4
2011-05-01,Sunday,d 93,,2011,5
2011-05-02,Monday,d 94,,2011,5
2011-05-03,Tuesday,d 95,,2011,5
2011-05-04,Wednesday,d 96,,2011,5
2011-05-05,Thursday,d 97,,2011,5
2011-05-06,Friday,d 98,,2011,5
2011-05-07,Saturday,d 99,,2011,5
2011-05-08,Sunday,d 100,,2011,5
2011-05-09,Monday,d 101,,2011,5
2011-05-10,Tuesday,d 102,,2011,5
2011-05-11,Wednesday,d 103,,2011,5
2011-05-12,Thursday,d 104,,2011,5
2011-05-13,Friday,d 105,,2011,5
2011-05-14,Saturday,d 106,,2011,5
2011-05-15,Sunday,d 107,,2011,5
2011-05-16,Monday,d 108,,2011,5
2011-05-17,Tuesday,d 109,,2011,5
2011-05-18,Wednesday,d 110,,2011,5
2011-05-19,Thursday,d 111,,2011,5
2011-05-20,Friday,d 112,,2011,5
2011-05-21,Saturday,d 113,,2011,5
2011-05-22,Sunday,d 114,,2011,5
2011-05-23,Monday,d 115,,2011,5
2011-05-24,Tuesday,d 116,,2011,5
2011-05-25,Wednesday,d 117,,2011,5
2011-05-26,Thursday,d 118,,2011,5
2011-05-27,Friday,d 119,,2011,5
2011-05-28,Saturday,d 120,,2011,5
2011-05-29,Sunday,d 121,,2011,5
2011-05-30,Monday,d 122,,2011,5
2011-05-31,Tuesday,d 123,,2011,5
2011-06-01,Wednesday,d 124,,2011,6
2011-06-02,Thursday,d 125,,2011,6
2011-06-03,Friday,d 126,,2011,6
2011-06-04,Saturday,d 127,,2011,6
2011-06-05,Sunday,d 128,,2011,6
2011-06-06,Monday,d 129,,2011,6
2011-06-07,Tuesday,d 130,,2011,6
2011-06-08,Wednesday,d 131,,2011,6
2011-06-09,Thursday,d 132,,2011,6
2011-06-10,Friday,d 133,,2011,6
2011-06-11,Saturday,d 134,,2011,6
2011-06-12,Sunday,d 135,,2011,6
2011-06-13,Monday,d 136,,2011,6
2011-06-14,Tuesday,d 137,,2011,6
2011-06-15,Wednesday,d 138,,2011,6
2011-06-16,Thursday,d 139,,2011,6
2011-06-17,Friday,d 140,,2011,6
2011-06-18,Saturday,d 141,,2011,6
2011-06-19,Sunday,d 142,,2011,6
2011-06-20,Monday,d 143,,2011,6
2011-06-21,Tuesday,d 144,,2011,6
2011-06-22,Wednesday,d 145,,2011,6
2011-06-23,Thursday,d 146,,2011,6
2011-06-24,Friday,d 147,,2011,6
2011-06-25,Saturday,d 148,,2011,6
2011-06-26,Sunday,d 149,,2011,6
2011-06-27,Monday,d 150,,2011,6
2011-06-28,Tuesday,d 151,,2011,6
2011-06-29,Wednesday,d 152,,2011,6
2011-06-30,Thursday,d 153,,2011,6
2011-07-01,Friday,d 154,,2011,7
2011-07-02,Saturday,d 155,,2011,7
2011-07-03,Sunday,d 156,,2011,7
2011-07-04,Monday,d 157,,2011,7
2011-07-05,Tuesday,d 158,,2011,7
2011-07-06,Wednesday,d 159,,2011,7
2011-07-07,Thursday,d 160,,2011,7
2011-07-08,Friday,d 161,,2011,7
2011-07-09,Saturday,d 162,,2011,7
2011-07-10,Sunday,d 163,,2011,7
2011-07-11,Monday,d 164,,2011,7
2011-07-12,Tuesday,d 165,,2011,7
2011-07-13,Wednesday,d 166,,2011,7
2011-07-14,Thursday,d 167,,2011,7
2011-07-15,Friday,d 168,,2011,7
2011-07-16,Saturday,d 169,,2011,7
2011-07-17,Sunday,d 170,,2011,7
2011-07-18,Monday,d 171,,2011,7
2011-07-19,Tuesday,d 172,,2011,7
2011-07-20,Wednesday,d 173,,2011,7
2011-07-21,Thursday,d 174,,2011,7
2011-07-22,Friday,d 175,,2011,7
2011-07-23,Saturday,d 176,,2011,7
2011-07-24,Sunday,d 177,,2011,7
2011-07-25,Monday,d 178,,2011,7
2011-07-26,Tuesday,d 179,,2011,7
2011-07-27,Wednesday,d 180,,2011,7
2011-07-28,Thursday,d 181,,2011,7
2011-07-29,Friday,d 182,,2011,7
2011-07-30,Saturday,d 183,,2011,7
2011-07-31,Sunday,d 184,,2011,7
2011-08-01,Monday,d 185,Ramadan starts,2011,8
2011-08-02,Tuesday,d 186,,2011,8
2011-08-03,Wednesday,d 187,,2011,8
2011-08-04,Thursday,d 188,,2011,8
2011-08-05,Friday,d 189,,2011,8
2011-08-06,Saturday,d 190,,2011,8
2011-08-07,Sunday,d 191,,2011,8
2011-08-08,Monday,d 192,,2011,8
2011-08-09,Tuesday,d 193,,2011,8
2011-08-10,Wednesday,d 194,,2011,8
2011-08-11,Thursday,d 195,,2011,8
2011-08-12,Friday,d 196,,2011,8
2011-08-13,Saturday,d 197,,2011,8
2011-08-14,Sunday,d 198,,2011,8
2011-08-15,Monday,d 199,,2011,8
2011-08-16,Tuesday,d 200,,2011,8
2011-08-17,Wednesday,d 201,,2011,8
2011-08-18,Thursday,d 202,,2011,8
2011-08-19,Friday,d 203,,2011,8
2011-08-20,Saturday,d 204,,2011,8
2011-08-21,Sunday,d 205,,2011,8
2011-08-22,Monday,d 206,,2011,8
2011-08-23,Tuesday,d 207,,2011,8
2011-08-24,Wednesday,d 208,,2011,8
2011-08-25,Thursday,d 209,,2011,8
2011-08-26,Friday,d 210,,2011,8
2011-08-27,Saturday,d 211,,2011,8
2011-08-28,Sunday,d 212,,2011,8
2011-08-29,Monday,d 213,,2011,8
2011-08-30,Tuesday,d 214,,2011,8
2011-08-31,Wednesday,d 215,,2011,8
2011-09-01,Thursday,d 216,,2011,9
2011-09-02,Friday,d 217,,2011,9
2011-09-03,Saturday,d 218,,2011,9
2011-09-04,Sunday,d 219,,2011,9
2011-09-05,Monday,d 220,,2011,9
2011-09-06,Tuesday,d 221,,2011,9
2011-09-07,Wednesday,d 222,,2011,9
2011-09-08,Thursday,d 223,,2011,9
2011-09-09,Friday,d 224,,2011,9
2011-09-10,Saturday,d 225,,2011,9
2011-09-11,Sunday,d 226,,2011,9
2011-09-12,Monday,d 227,,2011,9
2011-09-13,Tuesday,d 228,,2011,9
2011-09-14,Wednesday,d 229,,2011,9
2011-09-15,Thursday,d 230,,2011,9
2011-09-16,Friday,d 231,,2011,9
2011-09-17,Saturday,d 232,,2011,9
2011-09-18,Sunday,d 233,,2011,9
2011-09-19,Monday,d 234,,2011,9
2011-09-20,Tuesday,d 235,,2011,9
2011-09-21,Wednesday,d 236,,2011,9
2011-09-22,Thursday,d 237,,2011,9
2011-09-23,Friday,d 238,,2011,9
2011-09-24,Saturday,d 239,,2011,9
2011-09-25,Sunday,d 240,,2011,9
2011-09-26,Monday,d 241,,2011,9
2011-09-27,Tuesday,d 242,,2011,9
2011-09-28,Wednesday,d 243,,2011,9
2011-09-29,Thursday,d 244,,2011,9
2011-09-30,Friday,d 245,,2011,9
2011-10-01,Saturday,d 246,,2011,10
2011-10-02,Sunday,d 247,,2011,10
2011-10-03,Monday,d 248,,2011,10
2011-10-04,Tuesday,d 249,,2011,10
2011-10-05,Wednesday,d 250,,2011,10
2011-10-06,Thursday,d 251,,2011,10
2011-10-07,Friday,d 252,,2011,10
2011-10-08,Saturday,d 253,,2011,10
2011-10-09,Sunday,d 254,,2011,10
2011-10-10,Monday,d 255,,2011,10
2011-10-11,Tuesday,d 256,,2011,10
2011-10-12,Wednesday,d 257,,2011,10
2011-10-13,Thursday,d 258,,2011,10
2011-10-14,Friday,d 259,,2011,10
2011-10-15,Saturday,d 260,,2011,10
2011-10-16,Sunday,d 261,,2011,10
2011-10-17,Monday,d 262,,2011,10
2011-10-18,Tuesday,d 263,,2011,10
2011-10-19,Wednesday,d 264,,2011,10
2011-10-20,Thursday,d 265,,2011,10
2011-10-21,Friday,d 266,,2011,10
2011-10-22,Saturday,d 267,,2011,10
2011-10-23,Sunday,d 268,,2011,10
2011-10-24,Monday,d 269,,2011,10
2011-10-25,Tuesday,d 270,,2011,10
2011-10-26,Wednesday,d 271,,2011,10
2011-10-27,Thursday,d 272,,2011,10
2011-10-28,Friday,d 273,,2011,10
2011-10-29,Saturday,d 274,,2011,10
2011-10-30,Sunday,d 275,,2011,10
2011-10-31,Monday,d 276,,2011,10
2011-11-01,Tuesday,d 277,,2011,11
2011-11-02,Wednesday,d 278,,2011,11
2011-11-03,Thursday,d 279,,2011,11
2011-11-04,Friday,d 280,,2011,11
2011-11-05,Saturday,d 281,,2011,11
2011-11-06,Sunday,d 282,,2011,11
2011-11-07,Monday,d 283,,2011,11
2011-11-08,Tuesday,d 284,,2011,11
2011-11-09,Wednesday,d 285,,2011,11
2011-11-10,Thursday,d 286,,2011,11
2011-11-11,Friday,d 287,,2011,11
2011-11-12,Saturday,d 288,,2011,11
2011-11-13,Sunday,d 289,,2011,11
2011-11-14,Monday,d 290,,2011,11
2011-11-15,Tuesday,d 291,,2011,11
2011-11-16,Wednesday,d 292,,2011,11
2011-11-17,Thursday,d 293,,2011,11
2011-11-18,Friday,d 294,,2011,11
2011-11-19,Saturday,d 295,,2011,11
2011-11-20,Sunday,d 296,,2011,11
2011-11-21,Monday,d 297,,2011,11
2011-11-22,Tuesday,d 298,,2011,11
2011-11-23,Wednesday,d 299,,2011,11
2011-11-24,Thursday,d 300,Thanksgiving,2011,11
2011-11-25,Friday,d 301,,2011,11
2011-11-26,Saturday,d 302,,2011,11
2011-11-27,Sunday,d 303,,2011,11
2011-11-28,Monday,d 304,,2011,11
2011-11-29,Tuesday,d 305,,2011,11
2011-11-30,Wednesday,d 306,,2011,11
2011-12-01,Thursday,d 307,,2011,12
2011-12-02,Friday,d 308,,2011,12
2011-12-03,Saturday,d 309,,2011,12
2011-12-04,Sunday,d 310,,2011,12
2011-12-05,Monday,d 311,,2011,12
2011-12-06,Tuesday,d 312,,2011,12
2011-12-07,Wednesday,d 313,,2011,12
2011-12-08,Thursday,d 314,,2011,12
2011-12-09,Friday,d 315,,2011,12
2011-12-10,Saturday,d 316,,2011,12
2011-12-11,Sunday,d 317,,2011,12
2011-12-12,Monday,d 318,,2011,12
2011-12-13,Tuesday,d 319,,2011,12
2011-12-14,Wednesday,d 320,,2011,12
2011-12-15,Thursday,d 321,,2011,12
2011-12-16,Friday,d 322,,2011,12
2011-12-17,Saturday,d 323,,2011,12
2011-12-18,Sunday,d 324,,2011,12
2011-12-19,Monday,d 325,,2011,12
2011-12-20,Tuesday,d 326,,2011,12
2011-12-21,Wednesday,d 327,,2011,12
2011-12-22,Thursday,d 328,,2011,12
2011-12-23,Friday,d 329,,2011,12
2011-12-24,Saturday,d 330,,2011,12
2011-12-25,Sunday,d 331,Christmas,2011,12
2011-12-26,Monday,d 332,,2011,12
2011-12-27,Tuesday,d 333,,2011,12
2011-12-28,Wednesday,d 334,,2011,12
2011-12-29,Thursday,d 335,,2011,12
2011-12-30,Friday,d 336,,2011,12
2011-12-31,Saturday,d 337,,2011,12
2012-01-01,Sunday,d 338,NewYear,2012,1
2012-01-02,Monday,d 339,,2012,1
2012-01-03,Tuesday,d 340,,2012,1
2012-01-04,Wednesday,d 341,,2012,1
2012-01-05,Thursday,d 342,,2012,1
2012-01-06,Friday,d 343,,2012,1
2012-01-07,Saturday,d 344,,2012,1
2012-01-08,Sunday,d 345,,2012,1
2012-01-09,Monday,d 346,,2012,1
2012-01-10,Tuesday,d 347,,2012,1
2012-01-11,Wednesday,d 348,,2012,1
2012-01-12,Thursday,d 349,,2012,1
2012-01-13,Friday,d 350,,2012,1
2012-01-14,Saturday,d 351,,2012,1
2012-01-15,Sunday,d 352,,2012,1
2012-01-16,Monday,d 353,,2012,1
2012-01-17,Tuesday,d 354,,2012,1
2012-01-18,Wednesday,d 355,,2012,1
2012-01-19,Thursday,d 356,,2012,1
2012-01-20,Friday,d 357,,2012,1
2012-01-21,Saturday,d 358,,2012,1
2012-01-22,Sunday,d 359,,2012,1
2012-01-23,Monday,d 360,,2012,1
2012-01-24,Tuesday,d 361,,2012,1
2012-01-25,Wednesday,d 362,,2012,1
2012-01-26,Thursday,d 363,,2012,1
2012-01-27,Friday,d 364,,2012,1
2012-01-28,Saturday,d 365,,2012,1
2012-01-29,Sunday,d 366,,2012,1
2012-01-30,Monday,d 367,,2012,1
2012-01-31,Tuesday,d 368,,2012,1
2012-02-01,Wednesday,d 369,,2012,2
2012-02-02,Thursday,d 370,,2012,2
2012-02-03,Friday,d 371,,2012,2
2012-02-04,Saturday,d 372,,2012,2
2012-02-05,Sunday,d 373,SuperBowl,2012,2
2012-02-06,Monday,d 374,,2012,2
2012-02-07,Tuesday,d 375,,2012,2
2012-02-08,Wednesday,d 376,,2012,2
2012-02-09,Thursday,d 377,,2012,2
2012-02-10,Friday,d 378,,2012,2
2012-02-11,Saturday,d 379,,2012,2
2012-02-12,Sunday,d 380,,2012,2
2012-02-13,Monday,d 381,,2012,2
2012-02-14,Tuesday,d 382,,2012,2
2012-02-15,Wednesday,d 383,,2012,2
2012-02-16,Thursday,d 384,,2012,2
2012-02-17,Friday,d 385,,2012,2
2012-02-18,Saturday,d 386,,2012,2
2012-02-19,Sunday,d 387,,2012,2
2012-02-20,Monday,d 388,,2012,2
2012-02-21,Tuesday,d 389,,2012,2
2012-02-22,Wednesday,d 390,,2012,2
2012-02-23,Thursday,d 391,,2012,2
2012-02-24,Friday,d 392,,2012,2
2012-02-25,Saturday,d 393,,2012,2
2012-02-26,Sunday,d 394,,2012,2
2012-02-27,Monday,d 395,,2012,2
2012-02-28,Tuesday,d 396,,2012,2
2012-02-29,Wednesday,d 397,,2012,2
2012-03-01,Thursday,d 398,,2012,3
2012-03-02,Friday,d 399,,2012,3
2012-03-03,Saturday,d 400,,2012,3
2012-03-04,Sunday,d 401,,2012,3
2012-03-05,Monday,d 402,,2012,3
2012-03-06,Tuesday,d 403,,2012,3
2012-03-07,Wednesday,d 404,,2012,3
2012-03-08,Thursday,d 405,,2012,3
2012-03-09,Friday,d 406,,2012,3
2012-03-10,Saturday,d 407,,2012,3
2012-03-11,Sunday,d 408,,2012,3
2012-03-12,Monday,d 409,,2012,3
2012-03-13,Tuesday,d 410,,2012,3
2012-03-14,Wednesday,d 411,,2012,3
2012-03-15,Thursday,d 412,,2012,3
2012-03-16,Friday,d 413,,2012,3
2012-03-17,Saturday,d 414,,2012,3
2012-03-18,Sunday,d 415,,2012,3
2012-03-19,Monday,d 416,,2012,3
2012-03-20,Tuesday,d 417,,2012,3
2012-03-21,Wednesday,d 418,,2012,3
2012-03-22,Thursday,d 419,,2012,3
2012-03-23,Friday,d 420,,2012,3
2012-03-24,Saturday,d 421,,2012,3
2012-03-25,Sunday,d 422,,2012,3
2012-03-26,Monday,d 423,,2012,3
2012-03-27,Tuesday,d 424,,2012,3
2012-03-28,Wednesday,d 425,,2012,3
2012-03-29,Thursday,d 426,,2012,3
2012-03-30,Friday,d 427,,2012,3
2012-03-31,Saturday,d 428,,2012,3
2012-04-01,Sunday,d 429,,2012,4
2012-04-02,Monday,d 430,,2012,4
2012-04-03,Tuesday,d 431,,2012,4
2012-04-04,Wednesday,d 432,,2012,4
2012-04-05,Thursday,d 433,,2012,4
2012-04-06,Friday,d 434,,2012,4
2012-04-07,Saturday,d 435,,2012,4
2012-04-08,Sunday,d 436,Easter,2012,4
2012-04-09,Monday,d 437,,2012,4
2012-04-10,Tuesday,d 438,,2012,4
2012-04-11,Wednesday,d 439,,2012,4
2012-04-12,Thursday,d 440,,2012,4
2012-04-13,Friday,d 441,,2012,4
2012-04-14,Saturday,d 442,,2012,4
2012-04-15,Sunday,d 443,,2012,4
2012-04-16,Monday,d 444,,2012,4
2012-04-17,Tuesday,d 445,,2012,4
2012-04-18,Wednesday,d 446,,2012,4
2012-04-19,Thursday,d 447,,2012,4
2012-04-20,Friday,d 448,,2012,4
2012-04-21,Saturday,d 449,,2012,4
2012-04-22,Sunday,d 450,,2012,4
2012-04-23,Monday,d 451,,2012,4
2012-04-24,Tuesday,d 452,,2012,4
2012-04-25,Wednesday,d 453,,2012,4
2012-04-26,Thursday,d 454,,2012,4
2012-04-27,Friday,d 455,,2012,4
2012-04-28,Saturday,d 456,,2012,4
2012-04-29,Sunday,d 457,,2012,4
2012-04-30,Monday,d 458,,2012,4
2012-05-01,Tuesday,d 459,,2012,5
2012-05-02,Wednesday,d 460,,2012,5
2012-05-03,Thursday,d 461,,2012,5
2012-05-04,Friday,d 462,,2012,5
2012-05-05,Saturday,d 463,,2012,5
2012-05-06,Sunday,d 464,,2012,5
2012-05-07,Monday,d 465,,2012,5
2012-05-08,Tuesday,d 466,,2012,5
2012-05-09,Wednesday,d 467,,2012,5
2012-05-10,Thursday,d 468,,2012,5
2012-05-11,Friday,d 469,,2012,5
2012-05-12,Saturday,d 470,,2012,5
2012-05-13,Sunday,d 471,,2012,5
2012-05-14,Monday,d 472,,2012,5
2012-05-15,Tuesday,d 473,,2012,5
2012-05-16,Wednesday,d 474,,2012,5
2012-05-17,Thursday,d 475,,2012,5
2012-05-18,Friday,d 476,,2012,5
2012-05-19,Saturday,d 477,,2012,5
2012-05-20,Sunday,d 478,,2012,5
2012-05-21,Monday,d 479,,2012,5
2012-05-22,Tuesday,d 480,,2012,5
2012-05-23,Wednesday,d 481,,2012,5
2012-05-24,Thursday,d 482,,2012,5
2012-05-25,Friday,d 483,,2012,5
2012-05-26,Saturday,d 484,,2012,5
2012-05-27,Sunday,d 485,,2012,5
2012-05-28,Monday,d 486,,2012,5
2012-05-29,Tuesday,d 487,,2012,5
